spine,title,year,boxset,runtime_min,language,tmdb_popularity,tmdb_vote_avg,tmdb_vote_count,imdb_rating,metascore,tmdb_id,movie_id
1293,Pee-wee's Big Adventure,1985,Standalone,91,English,2.0006,6.471,835,7.1,47,5683,peewees-big-adventure-1985
1292,Salaam Bombay!,1988,Standalone,113,Hindi,1.0462,7.3,117,7.9,78,45129,salaam-bombay-1988
1291,The Mysteries of the Chateau of Dice,1929,Four Films by Man Ray,27,None Spoken,0.2537,6.534,29,6.2,NA,138750,the-mysteries-of-the-chateau-of-dice-1929
1291,The Starfish,1928,Four Films by Man Ray,17,None Spoken,0.2629,6.831,65,7,NA,93520,the-starfish-1928
1291,Emak-Bakia,1926,Four Films by Man Ray,18,None Spoken,0.288,6.8,61,6.9,NA,135318,emakbakia-1926
1291,Return to Reason,1923,Four Films by Man Ray,3,None Spoken,0.0706,6.3,110,6.4,NA,138752,return-to-reason-1923
1290,Eyes Wide Shut,1999,Standalone,160,English,11.2676,7.486,6911,7.5,69,345,eyes-wide-shut-1999
1289,Él,1953,Standalone,92,Spanish; Castilian,1.2056,7.687,155,7.9,NA,43344,él-1953
1288,Hell's Angels,1930,Standalone,131,English,1.2759,6.5,103,7.3,NA,22301,hells-angels-1930
1287,House Party,1990,Standalone,104,English,2.5038,6.393,256,6.5,76,16094,house-party-1990
1286,Nightmare Alley,2021,Standalone,151,English,4.2916,6.956,3304,7,70,597208,nightmare-alley-2021
1285,Deep Crimson,1996,Standalone,111,Spanish; Castilian,0.7946,6.9,47,7.2,NA,47007,deep-crimson-1996
1284,Altered States,1980,Standalone,103,English,1.7894,6.7,737,6.9,58,11542,altered-states-1980
1283,A History of Violence,2005,Standalone,96,English,10.5445,7.163,3656,7.4,82,59,a-history-of-violence-2005
1282,"The French Dispatch of the Liberty, Kansas Evening Sun",2021,The Wes Anderson Archive,108,English,4.0651,7.011,2927,7.1,NA,542178,the-french-dispatch-of-the-liberty-kansas-evening-sun-2021
1281,Isle of Dogs,2018,The Wes Anderson Archive,101,English,6.3657,7.846,5335,7.8,82,399174,isle-of-dogs-2018
1280,The Beat That My Heart Skipped,2005,Standalone,107,French,1.4096,6.913,487,7.2,75,1553,the-beat-that-my-heart-skipped-2005
1279,Read My Lips,2001,Standalone,115,French,1.42,7.1,367,7.3,82,6173,read-my-lips-2001
1278,Flow,2024,Standalone,8,English,1.2876,7.8,25,7.9,87,1281775,flow-2024
1277,Born in Flames,1983,Standalone,80,English,0.9511,6.058,77,6.5,NA,36832,born-in-flames-1983
1276,Saving Face,2004,Standalone,97,English,2.0269,7.3,257,7.4,65,19316,saving-face-2004
1275,Mahjong,1996,Two Films by Edward Yang,121,Mandarin,1.8843,7.4,43,7.4,NA,54421,mahjong-1996
1275,A Confucian Confusion,1994,Two Films by Edward Yang,129,Mandarin,1.382,7.5,35,7.5,NA,54233,a-confucian-confusion-1994
1274,Compensation,1999,Standalone,92,English,0.4486,6.6,9,6.9,NA,365501,compensation-1999
1273,Cairo Station,1958,Standalone,77,Arabic,0.9657,7.393,136,7.5,NA,47324,cairo-station-1958
1272,Shoeshine,1946,Standalone,91,Italian,2.2549,7.775,269,8,NA,43469,shoeshine-1946
1271,You Can Count on Me,2000,Standalone,111,English,2.9209,6.858,341,7.5,85,14295,you-can-count-on-me-2000
1270,Carnal Knowledge,1971,Standalone,98,English,1.5367,6.58,220,6.9,77,36492,carnal-knowledge-1971
1269,The Big Heat,1953,Standalone,89,English,1.3523,7.7,542,7.9,NA,14580,the-big-heat-1953
1268,Thirty Two Short Films About Glenn Gould,1993,Standalone,93,English,0.5308,7,47,7.3,NA,20967,thirty-two-short-films-about-glenn-gould-1993
1267,Sorcerer,1977,Standalone,122,English,2.6415,7.441,642,7.7,68,38985,sorcerer-1977
1266,Midnight,1939,Standalone,94,English,1.5336,7.376,93,7.8,79,31993,midnight-1939
1265,"Thelonious Monk: Straight, No Chaser",1988,Standalone,90,English,0.6013,7.2,21,7.5,NA,41973,thelonious-monk-straight-no-chaser-1988
1264,The Wiz,1978,Standalone,134,English,3.5014,6.085,289,5.7,53,24961,the-wiz-1978
1263,The Four Musketeers,1974,Two Films by Richard Lester,107,English,1.2823,6.441,212,6.9,70,12310,the-four-musketeers-1974
1263,The Three Musketeers,1973,Two Films by Richard Lester,107,English,2.9704,6.758,347,7.1,77,2926,the-three-musketeers-1973
1262,Killer of Sheep,1978,Standalone,80,English,1.2461,6.554,139,7.2,96,27432,killer-of-sheep-1978
1261,The Wind Will Carry Us,1999,Standalone,118,Persian,1.0681,7.125,192,7.4,87,43423,the-wind-will-carry-us-1999
1260,Basquiat,1996,Standalone,107,English,1.897,6.6,311,6.9,65,549,basquiat-1996
1259,Anora,2024,Standalone,139,English,15.7063,7.1,3029,7.4,91,1064213,anora-2024
1258,Prince of Broadway,2008,Standalone,102,English,0.6219,6.4,19,7.1,61,87081,prince-of-broadway-2008
1257,Manon of the Spring,1986,Two Films by Claude Berri,115,French,1.9245,7.58,557,8,70,4481,manon-of-the-spring-1986
1257,Jean de Florette,1986,Two Films by Claude Berri,122,French,1.1383,7.7,604,8.1,75,4480,jean-de-florette-1986
1256,Choose Me,1984,Standalone,106,English,1.2006,6,40,6.7,NA,42086,choose-me-1984
1255,Night Moves,1975,Standalone,100,English,2.5599,6.716,347,7.1,82,32042,night-moves-1975
1254,Godzilla vs. Biollante,1989,Standalone,105,Japanese,3.3407,7.394,288,6.5,NA,18289,godzilla-vs-biollante-1989
1253,A Woman of Paris: A Drama of Fate,1923,Standalone,82,None Spoken,1.3497,6.779,195,6.9,76,28974,a-woman-of-paris-a-drama-of-fate-1923
1252,Performance,1970,Standalone,106,English,1.1814,6.8,196,6.7,69,26606,performance-1970
1251,Drugstore Cowboy,1989,Standalone,102,English,2.2994,7.081,605,7.2,82,476,drugstore-cowboy-1989
1250,Crossing Delancey,1988,Standalone,97,English,1.1172,5.9,59,7,73,27397,crossing-delancey-1988
1249,King Lear,1987,Standalone,90,English,0.8464,6.4,35,5.4,NA,50012,king-lear-1987
1248,Winchester '73,1950,Standalone,92,English,1.6374,7.3,391,7.6,83,14551,winchester-73-1950
1247,"Jo Jo Dancer, Your Life Is Calling",1986,Standalone,97,English,0.8502,6.382,34,6.3,NA,63510,jo-jo-dancer-your-life-is-calling-1986
1246,The Grifters,1990,Standalone,110,English,2.2647,6.504,461,6.9,86,18129,the-grifters-1990
1245,The Mother and the Whore,1973,Standalone,219,French,2.3027,7.338,197,7.7,89,48693,the-mother-and-the-whore-1973
1244,Eastern Condors,1987,Standalone,97,Cantonese,3.0657,7.3,114,7.1,NA,68942,eastern-condors-1987
1243,No Country for Old Men,2007,Standalone,122,English,11.887,7.948,13090,8.2,92,6977,no-country-for-old-men-2007
1242,The Shape of Water,2017,Standalone,123,English,11.6902,7.238,12749,7.3,87,399055,the-shape-of-water-2017
1241,Paper Moon,1973,Standalone,102,English,2.2666,7.867,813,8.1,77,11293,paper-moon-1973
1240,Funny Girl,1968,Standalone,155,English,3.0827,7.196,419,7.4,88,16085,funny-girl-1968
1239,Scarface,1932,Standalone,93,English,2.4065,7.411,677,7.7,90,877,scarface-1932
1238,Gummo,1997,Standalone,89,English,2.5995,6.643,694,6.6,19,18415,gummo-1997
1237,Demon Pond,1979,Standalone,124,Japanese,1.76,6.3,33,7,NA,117215,demon-pond-1979
1236,The Seventh Victim,1943,I Walked with a Zombie / The Seventh Victim: Produced by Val Lewton,71,English,0.9015,6.451,152,6.7,NA,20945,the-seventh-victim-1943
1236,I Walked with a Zombie,1943,I Walked with a Zombie / The Seventh Victim: Produced by Val Lewton,69,English,1.0221,6.8,323,7,NA,27130,i-walked-with-a-zombie-1943
1235,Happiness,1998,Standalone,140,English,2.4245,7.4,914,7.7,81,10683,happiness-1998
1234,All of Us Strangers,2023,Standalone,105,English,3.4313,7.391,987,7.6,90,994108,all-of-us-strangers-2023
1233,Nowhere,1997,Gregg Araki’s Teen Apocalypse Trilogy,83,English,3.9125,6.8,210,6.6,44,1811,nowhere-1997
1233,The Doom Generation,1995,Gregg Araki’s Teen Apocalypse Trilogy,83,English,2.7126,6.5,303,6.1,48,13552,the-doom-generation-1995
1233,Totally F***ed Up,1993,Gregg Araki’s Teen Apocalypse Trilogy,79,English,1.8518,6.65,117,6.4,62,33560,totally-fed-up-1993
1232,Mother,1996,Standalone,104,English,1.935,6.8,90,6.9,76,27265,mother-1996
1231,Real Life,1979,Standalone,99,English,1.2761,6.5,89,7,64,33250,real-life-1979
1230,Not a Pretty Picture,1976,Standalone,83,English,0.2757,7.6,4,8.1,NA,432907,not-a-pretty-picture-1976
1229,The Long Farewell,1971,Two Films by Kira Muratova,97,Russian,0.7989,6.4,29,7.3,NA,148822,the-long-farewell-1971
1229,Brief Encounters,1967,Two Films by Kira Muratova,96,Russian,0.6261,5.7,27,7.4,NA,83440,brief-encounters-1967
1228,Farewell My Concubine,1993,Standalone,171,Mandarin,3.8761,7.899,666,8.1,84,10997,farewell-my-concubine-1993
1227,Risky Business,1983,Standalone,98,English,4.3961,6.587,1432,6.8,75,9346,risky-business-1983
1226,Perfect Days,2023,Standalone,124,Japanese,6.3505,7.787,1819,7.9,80,976893,perfect-days-2023
1225,"Black God, White Devil",1964,Standalone,120,Portuguese,0.703,7.1,165,7.2,NA,67612,black-god-white-devil-1964
1224,Pat Garrett & Billy the Kid,1973,Standalone,115,English,1.9262,7.201,452,7.2,53,11577,pat-garrett-billy-the-kid-1973
1223,The Underground Railroad,2021,Standalone,585,English,7.8445,7.2,145,7.4,NA,80039,the-underground-railroad-2021
1222,Victims of Sin,1951,Standalone,84,Spanish; Castilian,0.5789,6.889,18,7.5,NA,118009,victims-of-sin-1951
1221,Querelle,1982,Standalone,109,English,1.2522,6.6,202,6.6,NA,42135,querelle-1982
1220,Bound,1996,Standalone,105,English,6.561,7.222,1062,7.3,64,9303,bound-1996
1219,Girlfight,2000,Standalone,110,English,1.2862,6.513,191,6.7,70,19348,girlfight-2000
1218,Anatomy of a Fall,2023,Standalone,151,French,7.0819,7.527,3194,7.6,86,915935,anatomy-of-a-fall-2023
1217,Ceddo,1977,Three Revolutionary Films by Ousmane Sembène,117,Wolof,1.5529,6.7,34,6.6,NA,97029,ceddo-1977
1217,Xala,1975,Three Revolutionary Films by Ousmane Sembène,121,Wolof,1.5997,6.86,43,6.7,80,76636,xala-1975
1217,Emitaï,1971,Three Revolutionary Films by Ousmane Sembène,101,Wolof,0.8672,7.3,15,7.1,78,128395,emitaï-1971
1216,Dogfight,1991,Standalone,94,English,1.1941,6.9,138,7.3,56,14667,dogfight-1991
1215,Werckmeister Harmonies,2000,Standalone,139,Hungarian,1.7216,7.8,376,8,93,23160,werckmeister-harmonies-2000
1214,I Am Cuba,1964,Standalone,141,Spanish; Castilian,1.8191,7.817,246,8.2,91,32015,i-am-cuba-1964
1213,To Die For,1995,Standalone,106,English,3.3253,6.59,864,6.8,86,577,to-die-for-1995
1212,Saint Omer,2022,Standalone,123,French,1.1336,6.169,201,6.8,91,925943,saint-omer-2022
1211,The Runner,1984,Standalone,94,Persian,0.4993,7.194,36,7.6,NA,213938,the-runner-1984
1210,All the Beauty and the Bloodshed,2022,Standalone,122,English,1.1354,7.179,159,7.5,91,1004663,all-the-beauty-and-the-bloodshed-2022
1209,Nothing But a Man,1964,Standalone,95,English,1.2446,7.5,33,7.9,87,91721,nothing-but-a-man-1964
1208,The Roaring Twenties,1939,Standalone,104,English,1.2638,7.534,262,7.9,80,37698,the-roaring-twenties-1939
1207,Heroic Trio 2: Executioners,1993,Standalone,97,Cantonese,3.1994,6,41,5.8,NA,58311,heroic-trio-2-executioners-1993
1207,The Heroic Trio,1993,Standalone,88,Cantonese,2.8453,6.7,101,6.6,NA,43636,the-heroic-trio-1993
1206,A Tale of Autumn,1998,Eric Rohmer’s Tales of the Four Seasons,112,French,1.1198,7.1,136,7.4,NA,10239,a-tale-of-autumn-1998
1206,A Summer's Tale,1996,Eric Rohmer’s Tales of the Four Seasons,114,French,0.9945,7.3,253,7.6,91,37563,a-summers-tale-1996
1206,A Tale of Winter,1992,Eric Rohmer’s Tales of the Four Seasons,114,French,0.9771,6.997,172,7.2,NA,10241,a-tale-of-winter-1992
